,order_id,date,time
0,2,2015-01-01,11:57:40
1,3,2015-01-01,12:12:28
2,5,2015-01-01,12:21:30
3,6,2015-01-01,12:29:36
4,8,2015-01-01,12:51:37
5,11,2015-01-01,13:02:59
6,13,2015-01-01,13:11:55
7,16,2015-01-01,13:34:07
8,17,2015-01-01,13:53:00
9,18,2015-01-01,13:57:08
10,20,2015-01-01,14:03:08
11,22,2015-01-01,14:16:26
12,23,2015-01-01,14:19:03
13,24,2015-01-01,14:23:01
14,25,2015-01-01,14:44:44
15,26,2015-01-01,14:54:26
16,27,2015-01-01,15:11:17
17,28,2015-01-01,15:35:46
18,29,2015-01-01,15:41:01
19,30,2015-01-01,15:41:25
20,31,2015-01-01,15:50:18
21,33,2015-01-01,15:54:08
22,34,2015-01-01,16:21:21
23,35,2015-01-01,16:32:04
24,39,2015-01-01,17:07:23
25,40,2015-01-01,17:14:36
26,42,2015-01-01,17:28:09
27,43,2015-01-01,17:38:34
28,45,2015-01-01,17:55:48
29,46,2015-01-01,18:25:51
30,47,2015-01-01,18:26:34
31,48,2015-01-01,18:26:42
32,50,2015-01-01,18:41:01
33,53,2015-01-01,18:54:17
34,55,2015-01-01,19:03:19
35,57,2015-01-01,19:10:51
36,59,2015-01-01,19:40:08
37,60,2015-01-01,20:05:16
38,61,2015-01-01,20:08:43
39,63,2015-01-01,20:51:42
40,64,2015-01-01,20:52:08
41,65,2015-01-01,21:16:00
42,68,2015-01-01,22:07:32
43,69,2015-01-01,22:12:13
44,70,2015-01-02,11:38:51
45,72,2015-01-02,11:57:25
46,73,2015-01-02,11:58:56
47,75,2015-01-02,12:10:15
48,81,2015-01-02,12:40:01
49,83,2015-01-02,12:53:27
50,84,2015-01-02,13:13:41
51,85,2015-01-02,13:34:49
52,87,2015-01-02,14:01:02
53,92,2015-01-02,15:17:02
54,94,2015-01-02,16:17:16
55,95,2015-01-02,16:18:04
56,96,2015-01-02,16:21:20
57,97,2015-01-02,16:45:33
58,99,2015-01-02,17:45:42
59,100,2015-01-02,17:46:17
60,101,2015-01-02,17:51:33
61,103,2015-01-02,18:02:09
62,105,2015-01-02,18:12:01
63,106,2015-01-02,18:12:13
64,107,2015-01-02,18:25:09
65,110,2015-01-02,18:36:19
66,111,2015-01-02,18:38:01
67,114,2015-01-02,18:59:32
68,115,2015-01-02,19:05:17
69,118,2015-01-02,19:26:59
70,120,2015-01-02,19:35:07
71,121,2015-01-02,19:38:48
72,124,2015-01-02,20:12:34
73,125,2015-01-02,20:31:06
